ID,Nom,Cognom,Sexe,Data Naixement,NIF,IBAN,REVISIO,ADREÇA,CODI POSTAL, FOTO,Nom Equip
20,Aina,Blanch Puig,D,2006-01-11,77889900R,ES6100302053091234567810,null,Passeig Colom 120,Passeig Colom 120,08002,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-danxavier-1121796.jpg,Sense equip
4,Ana,Castells López,D,2011-02-22,12121212X,ES6600491500051234567810,null,Carrer Roselló 321,Carrer Roselló 321,08025,C:\Users\isard\Desktop\FOTOS-bd\pexels-simon-robben-55958-614810.jpg,C
15,Carla,Domínguez Ruiz,D,1994-03-30,89012345L,ES2100302053091234567802,null,Carrer Gran Via 150,Carrer Gran Via 150,08007,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-danxavier-1121796.jpg,I
5,Clara,Lopez Miró,D,2005-01-30,23456789F,ES7200302053091234567896,null,Carrer Aragó 300,Carrer Aragó 300,08009,C:\Users\isard\Desktop\FOTOS-bd\pexels-pexels-olly-846741.jpg,A
24,Clara,Esteve González,D,1990-06-05,99887744V,ES5500302053091234567814,null,Ronda Universitat 56,Ronda Universitat 56,08007,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-olly-846741.jpg,F
9,David,Gómez Torres,H,2003-08-12,90123456M,ES1200302053091234567803,null,Carrer de Sants 100,Carrer de Sants 100,08028,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-774909.jpg,H
9,David,Gómez Torres,H,2003-08-12,90123456M,ES1200302053091234567803,null,Carrer de Sants 100,Carrer de Sants 100,08028,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-774909.jpg,F
9,David,Gómez Torres,H,2003-08-12,90123456M,ES1200302053091234567803,null,Carrer de Sants 100,Carrer de Sants 100,08028,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-774909.jpg,E
9,David,Gómez Torres,H,2003-08-12,90123456M,ES1200302053091234567803,null,Carrer de Sants 100,Carrer de Sants 100,08028,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-774909.jpg,G
13,Elena,Serrano Pi,D,1999-12-08,45678901H,ES3200302053091234567898,null,Avinguda Meridiana 456,Avinguda Meridiana 456,08030,C:\Users\isard\Desktop\FOTOS-bd\pexels-simon-robben-55958-614810.jpg,I
11,Gerard,Martí Puig,H,2001-11-25,12345678O,ES3200302053091234567805,null,Carrer Enric Granados 101,Carrer Enric Granados 101,08007,C:\Users\isard\Desktop\FOTOS-bd\pexels-pexels-olly-846741.jpg,E
11,Gerard,Martí Puig,H,2001-11-25,12345678O,ES3200302053091234567805,null,Carrer Enric Granados 101,Carrer Enric Granados 101,08007,C:\Users\isard\Desktop\FOTOS-bd\pexels-pexels-olly-846741.jpg,G
21,Jan,Ruiz Ferrer,H,2003-08-18,88990011S,ES7000302053091234567811,null,Ronda Sant Pere 23,Ronda Sant Pere 23,08010,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-olly-846741.jpg,Sense equip
